ticker,value_raw,momentum_raw,quality_raw,value,momentum,quality,composite
HD,0.4458734987327829,0.1460069362127776,2.9951901,0.2842960705570698,-0.12259537127479056,3.997596557004257,1.3864324187621788
WMT,0.8784879816255454,0.47854256091228176,0.21783,1.6427361862200747,1.0785177273464652,-0.41089998385155757,0.7701179765716607
MA,0.05424562614804087,0.3346045527720214,1.8770399,-0.9454431859133328,0.5586160562910769,2.2227596214346717,0.6119774972708053
T,0.6079918830651644,0.6100325254412249,0.10885,0.7933592791925754,1.5534572736752992,-0.5838836574567436,0.587644298470377
ORCL,0.11431126775311144,0.4655075040506955,1.03741,-0.7568328171994615,1.0314353206062183,0.8900172414497668,0.3882065816188412
UNH,1.490774994885151,-0.3905533843352692,0.22700001,3.565360772317234,-2.0606422490884198,-0.39634445057209083,0.3694580242189078
IBM,0.25144168490268437,0.6706561164568408,0.21851,-0.32623359525950096,1.7724286675526142,-0.40982062160113064,0.34545815023066084
COST,0.5971439084573611,0.23301875572064912,0.3208,0.7592958706298377,0.1916898612930415,-0.24745596778323317,0.234509921379882
TSLA,0.10069489547366375,0.6887338069084412,0.087740004,-0.7995891905194655,1.8377249822372708,-0.6173914997936016,0.14024809730806784
AAPL,0.1314525108086827,0.05414804594422673,1.38015,-0.703008099997865,-0.4543881421277523,1.4340475616134798,0.0922171064959542
NVDA,0.042970467643732024,0.21753885543564477,1.15463,-0.9808479821658631,0.13577672111604153,1.076080245854244,0.07700299493480749
META,0.09711143964990161,0.46807138804850257,0.39835,-0.8108414955998561,1.0406960266009349,-0.12436105231175057,0.03516449289644274
CSCO,0.21262809753157277,0.4349194406731278,0.21356001,-0.4481110085285773,0.9209517487559737,-0.41767772799229363,0.018387670745034262
CVX,0.8033440965375388,-0.061179816476080395,0.10079,1.406779065072046,-0.8709504467355554,-0.5966772747191569,-0.020282885460888782
XOM,0.7590424921854677,-0.04228429619420382,0.14302,1.2676688898008175,-0.8027001444218275,-0.5296457043727906,-0.02155898633126685
JPM,0.2284588075176747,0.36519788722534563,0.17352,-0.3984014579819801,0.6691186671785398,-0.48123313284628866,-0.07017197454990964
V,0.05304564206179923,0.3688838502797376,0.50655,-0.9492112209315037,0.6824323039044241,0.04738452930029858,-0.07313146257559366
AMZN,0.2868170234163728,0.19086657569589827,0.2524,-0.21515252691240896,0.039436894084127025,-0.35602711179676516,-0.17724758154168238
DIS,0.4592610214608082,0.11228595680866915,0.08894,0.3263338400776242,-0.24439498326286713,-0.6154867492302731,-0.17784929747183867
BAC,0.28771923666360194,0.16815337167255207,0.094560005,-0.21231951341798444,-0.04260281786779007,-0.6065661297534929,-0.2871628203464225
KO,0.15268162058959292,0.14926463919651645,0.38776,-0.6363471917606555,-0.11082860274067595,-0.14117053206472285,-0.29611544218868474
PEP,0.5133622020856469,-0.2188777643246601,0.49927,0.4962153788880773,-1.4405527892147527,0.03582900403102215,-0.3028361354318844
MCD,0.11697093927196352,0.1973887446381526,,-0.748481260262357,0.06299485890381057,-0.2892495090387346,-0.324911970132427
JNJ,0.23948493496068138,0.08309323631590915,0.29447,-0.3637786368992521,-0.34983860001799993,-0.2892495090387346,-0.33428891531866217
MSFT,0.07723136671638564,0.13919861925101817,0.3361,-0.8732663325924,-0.14718689794121667,-0.22317031714862728,-0.41454118256074796
CRM,0.147051674223015,0.175663540022436,0.10312,-0.6540256220856208,-0.015476215759977372,-0.5929788717140175,-0.42082690318653854
PG,0.21824647469197508,0.006105117302640073,0.30294,-0.43046890633037793,-0.6279183945320809,-0.275805099831211,-0.4447308002312232
GOOGL,0.1701311175002907,0.004144924866620325,0.34789002,-0.5815545356222678,-0.6349985767316548,-0.2044560487371883,-0.47366972036370364
NKE,0.5158795728661583,-0.32292102882700624,0.31934,0.5041201014285205,-1.8163553154253234,-0.2497734220267968,-0.5206695453411999
INTC,0.6062052503073005,-0.32776386609424546,-0.18127,0.7877491257968522,-1.8338475624031578,-1.0443903870065376,-0.6968296078709478
