ticker,value_raw,momentum_raw,quality_raw,vol_cap,value,momentum,quality,composite
HD,0.4454974816918355,0.1322261959101485,2.9951901,0.554118374543847,0.37076715720909276,-0.3586682869776511,4.084808947287802,1.365635939173081
WMT,0.8640751095560831,0.47258537710876336,0.21783,0.941138922379708,1.7189044298767509,1.0317581828159734,-0.427846173943057,0.774272146249889
MA,0.056645361968394606,0.3084464013342567,1.8770399,-0.4688005595754177,-0.8816314452432423,0.36122191040524015,2.268038328909829,0.5825429313572755
T,0.6009297224107305,0.5721125684774937,0.10885,0.021488143286285608,0.8713768007692902,1.43834407497836,-0.6049168948451609,0.5682679936341631
ORCL,0.08798415370198165,0.6770594436710136,0.82382005,-1.5916011531034058,-0.7806967788780348,1.8670703184641984,0.5567665532821395,0.5477133642894344
IBM,0.23115233553777154,0.7179379694308423,0.21851,-0.11498353440043213,-0.31958670193076444,2.0340662081077294,-0.4267413098375933,0.4292460654464573
UNH,1.4883698777750656,-0.3644473921706439,0.22700001,-1.875886153121224,3.7296068423821427,-2.3876663039634773,-0.41294674027284695,0.30966459938193946
COST,0.6108420555470445,0.1731800833549222,0.3208,0.5144129798420742,0.9033020277059233,-0.1913645317399362,-0.260540501973066,0.15046566466430703
NVDA,0.0384844218908628,0.2823035155725957,1.15463,-1.2052663557379206,-0.940123439548167,0.25442367381354786,1.0942666113486557,0.1361889485380122
CSCO,0.2037750136376428,0.5126887499278381,0.21356001,0.31209316397979947,-0.40776243236266935,1.195587437837905,-0.4347840543573053,0.11768031703931009
JPM,0.2079267066676065,0.481255211000716,0.17352,0.44681389928212467,-0.3943908335342107,1.0671759626144572,-0.49984106881525575,0.05764802008833023
META,0.09432117662272274,0.42956331141930715,0.39835,-0.47735154154059195,-0.7602867611692742,0.8560055596337213,-0.134537249945555,-0.012939483827035969
DIS,0.42473065599267557,0.2816976113933667,0.08894,0.26977055148513773,0.3038822357600422,0.25194844982813414,-0.637266665933075,-0.027145326781632912
AAPL,0.12767704286077472,-0.010155949519358276,1.38015,-0.43084368136445667,-0.6528555858169721,-0.9403241222455885,1.460691542325371,-0.04416272191239656
CVX,0.7641579945559857,-0.0090174780902188,0.10079,0.2578578195010112,1.397095575456231,-0.9356732683899507,-0.6180127840952155,-0.05219682567631171
XOM,0.7123153482730555,0.010023743282174369,0.14302,0.23791367264253951,1.2301229540947989,-0.857886566353181,-0.5493974735456115,-0.05905369526799786
TSLA,0.10110597807294432,0.5026684703438462,0.087740004,-1.6939180824518556,-0.7384345571483278,1.154652852441236,-0.6392164196199868,-0.07433270810902619
V,0.053999132557934586,0.37315290752924524,0.50655,-0.09862121912265659,-0.8901543099708036,0.6255592456419113,0.041266126835575685,-0.07444297916443886
BAC,0.26590084387355417,0.25291597553812784,0.094560005,-0.010448796040629125,-0.20767016330423202,0.13437046002290942,-0.628135280937448,-0.23381166140625687
PEP,0.4964856264928702,-0.13861138228273817,0.49927,0.24965639400864423,0.5349876360272867,-1.4650869133476534,0.02943758170649414,-0.3002205652046242
AMZN,0.274110664396007,0.1329107866099326,0.2524,-0.3836029118794654,-0.1812283176071656,-0.35587161486614166,-0.3716768325814702,-0.3029255883515925
SPY,,0.16097963769935553,,2.5821858859907274,-0.34573730415455217,-0.24120547483727947,-0.33749916131907576,-0.30814731343696916
KO,0.15341267335651265,0.16050291342229217,0.38776,1.4387582457159267,-0.5699673462234336,-0.243152976448042,-0.15174388358799654,-0.3216214020864907
NKE,0.40996829715158123,0.0155908144554322,0.23290001,-1.9413663709092135,0.2563362493973198,-0.8351441120692586,-0.4033604193577945,-0.32738942734324444
MCD,0.12248214975769968,0.2039925961876825,,0.7423610201930618,-0.6695870796990364,-0.06549005615608192,-0.33749916131907576,-0.35752543239139806
JNJ,0.23911477796279948,0.10006211355882066,0.29447,1.2198670015005937,-0.2939416012372037,-0.490064159186578,-0.30332149005668124,-0.362442416826821
PG,0.2230329420101415,0.012546846414464907,0.30294,1.3018749128968228,-0.34573730415455217,-0.8475792510963941,-0.28955943274303825,-0.49429199599799484
MSFT,0.07298901398557095,0.10057265366653345,0.3361,0.21623595819232816,-0.8289924961233642,-0.4879785140244429,-0.2356810596001334,-0.5175506899159802
GOOGL,0.16724679003235893,-0.014155624561150715,0.34789002,-0.4442099978052752,-0.5254110033049101,-0.9566634906419293,-0.2165246332755764,-0.5661997090741385
CRM,0.14961881464972876,0.0701244571040256,0.10312,-0.56964658838809,-0.5821864472679569,-0.6123646942617412,-0.6142269997338473,-0.6029260470878485
